EMPLEADO;ZONARUTA;NOMZONA;ORDCOB;RAZONSOC;DIRECCION;CODIGOCLI;fechainac;entreayer;FECHAING;ENTREGAS;ciudadedi;zondomingo;estado;nomciudad;publicacio;nompu;modalidad;tipo;marca;fechapla;direccion2 
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;KIOSKO COCA COLA LIBORIO;CR 14 # 19-30;KIOCOC01;;;;9;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;LA CASA DEL DETALLE;AV.19 #15 10 LOC 9A TERM.TRANS;CASDET01;;;;6;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;MARIA ENGRACIA CASTRO ABUN LA CURVA;CALLE 51 B # 16 B18;ABUCUR01;;;;3;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;MIGUEL ARBELAEZ -CARRO DULCES;CL 10# 5-10 ROMBOY VERLON;MIGARB01;;;;6;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;MISCELANEA ANGIE;CR 22 #48B-60;MISANG03;;;;9;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;MISCELANEA CARIBE;CRA  12 A # 48 -41;MISCAR01;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;;;;7;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;MISCELANEA LA ESTACION;CR 23 #40 88;MISEST01;;;;2;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;MISCELANEA LA NUEVA  LA PALMA;CRA 17 # 12-62  B. LA PALMA;MISLAN01;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;MISCELANEA TAMAYO;CR 22 #47 36;MISTAM01;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;MRIA YOLANDA GIL TI CAF PAISAJE;CRA. 26 # 15-05 CAF.EL PAISAJE;TICAPA01;;;;2;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;MUNDO EDITORES;AVENIDA 19  # 31 -17;MUNEDI01;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;OSORIO B. OLGA PIEDAD MIS LOS CEDRO;CALLE 12 # 3 B 67;MISCED01;;;;2;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;PANADERIA LA PASTORA;CL 12 #13 05;PANPAS02;;;;7;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;PANADERIA VALENTINA;CALLE 46 # 20 - 08;TIEFON02;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;PATIÑO ALBEIRO PAPELERIA SAN JORGE;CRA 22 #  47 - 11;ALBPAT01;;;;7;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;PAVA CARDOZO OLIVERIO AUTOSERVICIO;CRA 16 B # 51 B 150;AUTHER01;;;;6;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;PUESTO DUELCES ANDRES;CALLE 19 # 10 -48;PUDUAN01;;;;3;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;QUESERA LA ARGENTINA;CR 20 #51 58;QUEARG01;;;;8;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;RANCHO ROJO SUPERMERCADO;CALLE 12 # 7B 76;RANROJ01;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;RAPITIENDA SUPERGANGAS;CR 10 # 8-37;SUPERG01;;;;10;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;RENDON PATRICIA MIS-PAN LA CARIBEÑA;CRA  10 B # 47 F 05;PATREN01;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;S.SUERTE AGUSTINOS I I;AVENIDA CENTRO # 17 -08;SSAGU202;;;;3;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;S.SUERTE BAR CASTILLO;CALLE 21 # 15 - 65;SSBACA01;;;;6;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;S.SUERTE BAR ITALIA;CALLE 21 # 17 -02;SSBAIT01;;;;4;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;S.SUERTE BAR NAPOLES;CRA 18 # 24 - 05;SSBNAP01;;;;3;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;S.SUERTE BAR TIBURON;CALLE 20 # CRA 17 ESQUINA;SSBTIB01;;;;4;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;S.SUERTE BILLARES EUROPA;CRA 23 # 17 -52;SSBEUR01;;;;8;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;S.SUERTE LIBORIO;CALLE 21 # 13 -37;SSLBOR01;;;;4;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;S.SUERTE PAN SAN FRANCISCO;CALLE 27 # 14 -32;SSPASF01;;;;6;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;S.SUERTE PASAJE SAN ANDRESITO;CALLE 19 # 16 - 52;SSPSAN01;;;;4;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;S.SUERTE PUNTO ROJO;CRA 23 # 21 - 47;SSPROJ01;;;;2;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;SU DROGUERIA Nº 3;CR 12 # 47C- 55;SUDROG03;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;SUDROGUERIA;CR 20 #50 74;SUDROG01;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;SUPERMERCADO VILLAPILAR;CL 10 Nº 2C  15;SUPVIL02;;;;15;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;SUPERMERCADOS DEL CENTRO S.A.S.;CL 9B #1F 80;SUPCEN02;;;;6;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;SUPERTIENDA CHIPRE;CALLE 10 #11-42 PORTON CASA;SUCHIP01;;;;4;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;TIENDA CESAR;CRA 24 # 15 -15;TIECES01;;;;3;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;TIENDA INESITA;CL 30 #16 64 SAN JOSE;TIEINE01;;;;10;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;TIENDA MIXTA D'MANCHO;CR 13A #47 I -16 BAJO CARI;TIEMAN02;;;;10;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;VANEGAS SALAZAR OLGA MIN PIRRY;CALLE 46 # 11 C 03;MINUPI01;;;;7;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER LONDOÑO;ZE034;ZONA ENTREGA 34;;KIOSCO SINAI COLEGIO MIXTO;PUERTA ENTRADA COLEGIO SINAI;MACENA01;;;;15;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
ALEXANDER LONDOÑO;ZE034;ZONA ENTREGA 34;;PARQUEADERO PICO Y PLACA;CRA 22 CALLE 32 ESQUINA ISABEL;PICPLA01;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;AGUIRRE MARTHA LUCIA TIEN 24;CRA 24 # 26-53;TIEN2401;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;BANCO DE LA REPUBLICA;CRA 23 # 23-34;BANREP01;;;;2;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;BONILLA GUILLERMO ESTANQ OBELISCO;CALLE 18 # 27-58 ESTQ OBELISCO;ESTOBE01;;;;10;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;BUITRAGO G. JOSE ULISES CIG. LA INA;CALLE 27 # 16-07  CIG. LA INA;ABUINA01;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;CASTRILLON HEBERARDO TIE COSTEÑITA;CRA 24 # 12-63 TIEN COSTEÑITA;TIECOS03;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;CEVALLOS GIRALDO GLADYS LIB ABACO;CRA 21 # 26-53 LIBRERIA ABACO;LIBABA01;;;;2;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;FABIO ZAPATA MISCELANEA DON TATO;CRA  14 # 25-06;DOTATO01;;;;3;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;FERNANDEZ A. PATRICIA TIE ANGELA;CRA 25 # 33-14 TIE. ANGELA;TIEANG01;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;GONZALES JAIR SUPER BUÑUELO;CALLE 16 # 19-15 SUPER BUÑUELO;JAIGON01;;;;10;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;IZAZA LUIS HERNEY PIQU. ZO.AMARILLA;CALLE 14  CRA 22 Y 23 PIQUE Z.;PIQAMA01;;;;10;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;LOPEZ MARINO TIE MIXTA LA UNION;CALLE 20 CRA 30 TIEMIX UNION;TIEMIU01;;;;4;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;MAURICIO ACOSTA TIE PELICANO;CALLE  19 CON CRA 33 ESQUINA;TIEPEL02;;;;6;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;MEJIA PAULO ANDRES BILLAR OLIMPICA;CALLE 18 # 20-31;BILOLI01;;;;3;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;MEJIA W. ALBERTO RAPITIEN.EL BOSQUE;CALLE 12 # 25-48;RAPBOS01;;;;3;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;MISCELANEA LA 18;CALLE 18 # 26-01;MISC1801;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;MORALES DUVAN  LA QUEMPIS;CALLE 12 CRA 25 # 12-08;LAKEMP01;;;;6;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;MORALES WILSON EL PORTEÑO;CALLE 31 CASA # 188 EL PORTEÑO;WILMOR01;;;;3;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;MUÑOZ PATRICIA VENTIADEROS TIENDA;CALLE 19 CRA 33 VENTIADEROS T;TIEVEN01;;;;4;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;MUÑOZ VIRGILIO EXQUIPAN;CRA 19 # 31-07 EXQUIPAN;VIRMUÑ01;;;;3;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;OSPINA JULIAN TIENDA LA PELUSA;CRA 15 # 30-25 TIENDA LA PELUS;TIEPEL01;;;;2;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;PEREZ PACHON JUAN DAVID PAR MOTOS;CALLE  17 CRA 24 # 24 -23;JUPEPA01;;;;3;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;PUESTO DE DULCES PASAJE;CRA 22  CALLE 29 PASAJE LA 14;JOSERO01;;;;8;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;RAMIREZ G. AUGUSTO EL OSIRIS;CRA 21 # 20-57 EL OSIRIS PUEST;LOIRIS01;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;RIGOBERTO GRIZALES MIS RIGUIN;CALLE 27# 11-61;RIGUIN01;;;;10;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;SALAZAR MARTHA LUCIA MIS ROJA;CALLE 27 # 14-64 MIS EST.ROJA;MISROJ01;;;;4;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;TAMAYO MARLENY PUES JUGOS;CALLE 21 # 17-08 PUES.JUGOS;PUEJUG03;;;;13;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;60;TIENDA LOS HERMANOS;CR 18 #31 59;TIEHER01;;;;6;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;TIENDA LUCERITO;CALLE 19 # 35-07 TIEN LUCERITO;TIENLU01;;;;3;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;TIENDA LUKAS;CRA 12 # 28 - 06;TIENJO01;;;;3;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;**;TIENDA MIXTA EL GORDO;CL 28 # 14-02;TIEGOR01;;;;4;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;TIENDA MIXTA MIGUEL ESQUINA;CRA  17  CALLE 26 ESQUINA;MISMIG01;;;;3;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;TIENDA PEREZ   EL CARMEN;CRA 32 # 17 - 23;TIEPER02;;;;2;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;TORRES JOSE   CRA 17 CALLES 22;CRA 17 CON CALLE 22;JOSTOR01;;;;12;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GEOVANNY ABRIL;ZE054;ZONA DE ENTREGA;;VALENCIA JUAN DAVID TIE.SAN LORENZO;CRA 18 # 34-49 TIE SAN LORENZO;JUADAV01;;;;2;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GUSTAVO RIOS MORA;ZE020;ZONA ENTREGA 20;**;CACHARRERIA LA MISCELANEA JOSE ARIS;CL 9 # 5-60;CACMIS01;;;;12;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GUSTAVO RIOS MORA;ZE020;ZONA ENTREGA 20;**;CASETA EL TRAILER;CL 3A # 18-28  EXPRESO SIDERAL;CASTRA01;;;;30;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GUSTAVO RIOS MORA;ZE020;ZONA ENTREGA 20;;CASTAÑO LUIS JAIME MIS.VAKALU;CALLE 7 # 1 -50 VILLAMARIA;MISVAK01;;;;13;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GUSTAVO RIOS MORA;ZE020;ZONA ENTREGA 20;;GERMAN GARCIA CASETA PRENSA V/LLRIA;CALLE  5ª  # 3-55 VILLAMARIA;GERGAR02;;;;35;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GUSTAVO RIOS MORA;ZE020;ZONA ENTREGA 20;;KIOSCO CENTRAL CONTROL V/LLAMARIA;CONTROL BUSETAS LA PRADERA;KIOCEN01;;;;3;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GUSTAVO RIOS MORA;ZE020;ZONA ENTREGA 20;;MIS.DOÑA MARTHA  V/LLRIA LA PRADERA;CALLE 4 # 16 A 04;MIDOMA01;;;;9;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GUSTAVO RIOS MORA;ZE020;ZONA ENTREGA 20;**;MISCELANEA DON VICTOR   VILLAMARIA;CR 5 # 7-12 DIAGONAL A BANCAFE;MISVIC01;;;;20;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GUSTAVO RIOS MORA;ZE020;ZONA ENTREGA 20;**;MISCELANEA EL ROMBOY;MZA 45 #8 15 PRADERA;MISROM01;;;;12;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GUSTAVO RIOS MORA;ZE020;ZONA ENTREGA 20;**;RAPITIENDA EL CRUCERITO;CR 5 #12 02;RAPCRU01;;;;10;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GUSTAVO RIOS MORA;ZE020;ZONA ENTREGA 20;;TIENDA LA VILLA MINIMERCAD0;CALLE 6ª # 452;TIELVI01;;;;6;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GUSTAVO RIOS MORA;ZE020;ZONA ENTREGA 20;**;TIENDA URAPANES;CL 10 # 1B -02;TIEURA01;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
GUSTAVO RIOS MORA;ZE020;ZONA ENTREGA 20;**;VARIEDADES CHIPE CHAPE;CR 5 #5 50 VILLAMARIA;VARCHI01;;;;6;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;;AGUDELO EDIER JOSE CAFE.TOP-TEC;KILOMETRO 10 VIA MAGDALENA;JOEDIA01;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;;ARROYAVE VICTOR TIENDA ALTAMIRA;CRA 36 # 63 A 26 TIE. ALTAMIRA;TIEALT01;;;;9;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;;AVICOLA SAN CARLOS  LA ENEA;CRA  34 #  103 - 03 LA ENEA;AVICAR01;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;;BLANDON LISET JOHANA TIEN LISET;CALLE  62 # 34 - 86;TIELIS01;;;;3;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;**;CACHARRERIA MOLGA;CL 65 # 33 35 FATIMA;CACMOL01;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;;CAFETERIA  BOMBA TEXACO;PUENTE FRENTE  B. LA PLAYITA;EFRAAR01;;;;5;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;**;CAFETERIA AVENIDA SANTANDER;CR 23 # 55-01;CAFAVE01;;;;8;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;;CASTRO G. GUSTAVO  PANAD. XII;CRA  37 # 66 - 07 ESQUINA;PANADE01;;;;6;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;;COMERCIALIZADORA MERCALDAS # 1PALMA;CRA 23 # 58-03;COMMER01;;;;15;;;;;NDI;NUESTRO DIARIO;;;;31/03/2011;
