EMPLEADO;ZONARUTA;RAZONSOC;DIRECCION;CODIGOCLI;FECHAING;ENTREGAS;DEVOLUCION;FALTANTES;SOBRANTES;VALORUNITA;COBRADO;VALORFEC;VALORCOM;NOMPU;FECHAMOV;ADICIONA;RESTANTE;ENTREGO;FECHAPLA
JUAN CARLOS RENDON;ZE053;MISCELANEA LA DE TODOS;CR 34 # 107A-34;MISTOD02;31/03/2011;8;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;MISCELANEA LOAIZA;CL 99 A # 34-21;MISLOA01;31/03/2011;5;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;MISCELANEA LOS CORALES;CR 42 #67C- 07;MISCOR01;31/03/2011;8;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;PANADERIA EL GRAN BU�UELO;CR 35 # 99A-99;PANGRA01;31/03/2011;12;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;PANADERIA PAPI PAN;CALLE 69 # 42-11;PANPAP01;31/03/2011;8;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;QUESERA MALHABAR;CRA 40 # 67 E 22;QUEMAL01;31/03/2011;9;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;RESTAURANTE  SAN JUAN;BOMBA GASOLINA  SAN JUAN;ANQUOR01;31/03/2011;5;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;SUPERMERCADO IDEAL # 1;CL 67B # 31-15;SUPIDE01;31/03/2011;7;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;TIENDA J.2;CL 105D #32A 33;TIEJ201;31/03/2011;7;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;TIENDA LA PUERTA;CR 30C #65 63;TIEPUE01;31/03/2011;12;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;TIENDA MIXTA LIMEL;CL 68 #35 75;TIELIM01;31/03/2011;6;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;0;0;31/03/2011
JUAN CARLOS RENDON;ZE053;TIENDA MIXTA MINCHO;CL 69A  # 42-11;TIEHER02;31/03/2011;8;0;0;0;0;0;0;0;NUESTRO DIARIO;8/4/2011;0;4;1;31/03/2011
